Year,min_temp,max_temp
1980,11.81,25.60322581
1981,13.10333333,24.83225806
1982,12.44193548,26.62258065
1983,11.92903226,25.20322581
1984,11.67096774,25.08387097
1985,12.59032258,26.26129032
1986,11.5516129,25.62258065
1987,12.02258065,26.52258065
1988,12.09677419,26.17419355
1989,10.21935484,24.2516129
1990,12.51290323,26.06333333
1991,12.1483871,24.78709677
1992,11.61290323,24.7516129
1993,11.6516129,25.40645161
1994,12.19032258,26.38387097
1995,10.69677419,24.86774194
1996,12.37741935,25.76129032
1997,10.74516129,25.6
1998,12.19032258,23.6516129
1999,12.10322581,26.54193548
2000,12.39354839,26.39677419
2001,10.12903226,25.70967742
2002,12.99354839,26.02580645
2003,11.1483871,23.92580645
2004,13.03548387,24.21290323
2005,12.47741935,25.46774194
2006,12.15806452,26.31935484
2007,11.19354839,25.35483871
2008,13.17419355,25.55806452
2009,13.65806452,26.67741935
2010,10.80645161,25.08064516
2011,10.89677419,24.95806452
2012,12.98709677,24.6516129
2013,10.57096774,24.80967742
2014,11.83548387,24.54193548
2015,13.13225806,25.68064516
2016,12.68709677,25.77419355
2017,12.03870968,26.58064516
